oldcode,hsspend_per_cap68_z1,hsspend_per_cap68_z2,pop60,povrate60,hsspend_per_cap68,socspend_per_cap68,othspend_per_cap68,totspend_per_cap68,hsspend_per_cap72_a,hsspend_per_cap72_b,hsspend_per_cap72_c,socspend_per_cap72,othspend_per_cap72,totspend_per_cap72,hs72cpos,hs68pos,state,pct_urban_1960,pct_black_1960,hsspend_per_kid_68,hsspend_per_kid_72
27057,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27,,,0,0
32015,0,0,13085,2.163443,0,121.3193,7366.327,7487.646,0,0,0,126.7575,9198.734,9325.491,0,0,32,96.5,.3,0,0
33030,.9793709,.9793709,1300623,5.289818,.9793709,201.4797,1364.498,1565.978,.020321,.020321,.1143143,354.2351,1613.147,1967.496,1,1,33,99.7,3,57.61005,6.724372
47107,0,0,10200,5.341246,0,1036.885,4047.709,5084.593,0,0,0,1152.298,5539.432,6691.729,0,0,47,100,1.4,0,0
31002,.2270682,.2270682,783967,5.378932,.2270682,120.3755,646.301,766.6765,.0386632,.0386632,.0921369,308.0978,696.8828,1005.073,1,1,31,99.6,2.1,13.35695,5.419815
14022,.0194152,.0194152,313972,5.4788,.0194152,134.2713,382.9777,517.249,.5503962,.5503962,.6934997,336.5677,466.1676,803.4288,1,1,14,85.5,.2,1.142072,40.7941
27031,0,0,2952,6.284153,0,182.5287,1007.914,1190.443,0,0,0,328.5565,1348.759,1677.316,0,0,27,0,0,0,0
21016,.8129164,.8129164,340248,6.288978,.8129164,944.6011,1194.483,2139.084,.830418,.830418,.830418,1151.001,1540.417,2692.248,1,1,21,86.1,3.4,47.81861,48.84812
31014,.0615198,.0615198,260815,6.575052,.0615198,147.5998,783.0724,930.6722,.0631627,.0631627,.0631627,252.9267,1186.644,1439.634,1,1,31,73.6,2.1,3.61881,3.715455
47007,.2153956,.2153956,163232,6.683162,.2153956,288.8263,2873.451,3162.277,0,0,0,242.519,4448.078,4690.597,0,1,47,100,5.3,12.67033,0
17046,.4419237,.4419237,144077,6.696932,.4419237,137.382,221.3128,358.6948,.5349119,.5349119,.5349119,216.026,344.4099,560.9708,1,1,17,84.9,.7,25.99551,31.46541
24002,.2557002,.2557002,85732,6.789649,.2557002,123.8865,287.6312,411.5176,.5176117,.5176117,.5176117,201.1737,617.6088,819.3,1,1,24,89,.1,15.04119,30.44775
39046,.1567172,.1567172,516307,6.8612,.1567172,172.7365,360.6936,533.4301,.4369837,.4369837,.5774456,289.7116,418.8156,709.1046,1,1,39,70.5,3.6,9.218656,33.96739
26095,1.443828,1.443828,703264,6.881126,1.443828,181.828,175.0735,356.9015,0,0,0,277.9172,234.5047,512.4219,0,1,26,92.4,2.7,84.93105,0
6027,0,0,216,6.944445,0,212.9208,1292.921,1505.842,0,0,0,274.3564,3821.733,4096.089,0,0,6,0,0,0,0
47029,.9225509,.9225509,263149,6.992537,.9225509,117.1124,587.5836,704.696,0,0,0,200.9956,1130.111,1331.107,0,1,47,76.8,5.1,54.2677,0
5041,.3397491,.3397491,444365,7.020627,.3397491,199.4682,461.1042,660.5724,.6533941,.6533941,.7295491,349.1989,546.8953,896.8238,1,1,5,97.6,2.4,19.98524,42.91465
36043,.5671906,.5671906,147644,7.213184,.5671906,112.7901,135.4856,248.2757,2.647059,2.647059,2.647059,256.217,189.2431,448.1072,1,1,36,79.3,1.3,33.36415,155.7093
22011,.0425749,.0425749,510693,7.276654,.0425749,145.5199,391.2592,536.7791,.0543921,.0543921,.0543921,254.6036,344.0648,598.7228,1,1,22,86.4,.3,2.504407,3.199536
21003,.3823842,.3823842,493504,7.291669,.3823842,3156.182,356.1261,3512.308,.7937019,.7937019,.7937019,709.568,428.0764,1138.438,1,1,21,65.2,3.5,22.49319,46.68835
31018,.5331398,.5331398,144645,7.35635,.5331398,130.5866,430.9063,561.4929,.5985724,.5985724,.5985724,217.96,705.8114,924.37,1,1,31,61.9,3.1,31.36116,35.21014
31020,.3040971,.3040971,505091,7.523149,.3040971,202.5805,724.7668,927.3474,.3906532,.3906532,.3906532,372.9339,1033.98,1407.304,1,1,31,100,7.5,17.88806,22.9796
31012,1.048092,1.048092,434448,7.67433,1.048092,203.9832,483.7366,687.7198,1.154102,1.154102,1.431023,300.4237,619.3723,921.227,1,1,31,90.8,3.8,61.6525,84.17784
50045,0,0,38672,7.80101,0,167.4984,151.3495,318.8479,0,0,0,279.3828,161.4698,440.8526,0,0,50,67.3,0,0,0
50067,2.584627,2.584627,158150,7.90134,2.584627,413.0712,1130.501,1543.572,2.4496,2.4496,2.4496,794.4886,1021.296,1818.235,1,1,50,33.8,0,152.0369,144.0941
33060,.8301942,.8301942,810087,7.949345,.8301942,210.4819,440.3421,650.824,.6654931,.6654931,.6654931,416.428,544.9931,962.0866,1,1,33,92.7,7.5,48.83495,39.14665
14049,.6958535,.6958535,293665,7.9627,.6958535,141.0653,941.8339,1082.899,.7526696,1.279146,1.279146,304.269,978.7502,1284.298,1,1,14,78.3,4,40.93256,75.2439
47043,0,0,117260,8.038089,0,91.88328,140.0746,231.9579,0,0,0,138.0427,210.3141,348.3568,0,0,47,71,5.1,0,0
33041,.249865,.249865,1814912,8.050292,.249865,212.815,506.6982,719.5131,0,0,0,371.8429,633.8215,1005.664,0,1,33,100,8.1,14.69794,0
