oldcode,ecls_pop,ecls_center,ecls_headstrt,ecls_hs_fullday,ecls_hs_partday,ecls_c1reading,ecls_c1math,ecls_c1general,propvoter68,propvoter70,propvoter72,propvoter74,propvoter76,propvoter78,propvoter80,voter_missing,age5_9_rate,age5_9_tb_rate,age5_9_other_inf_rate,age5_9_diabetes_rate,age5_9_nutrition_rate,age5_9_anemias_rate,age5_9_meningitis_rate,age5_9_circ_rate,age5_9_resp_rate,age5_9_injury_rate,infant_rate,infant_tb_rate,infant_other_inf_rate,infant_diabetes_rate,infant_nutrition_rate,infant_anemias_rate,infant_meningitis_rate,infant_resp_rate,infant_injury_rate,postneonate_rate,postneonate_tb_rate,postneonate_other_inf_rate,postneonate_diabetes_rate,postneonate_nutrition_rate,postneonate_anemias_rate,postneonate_meningitis_rate,postneonate_resp_rate,postneonate_injury_rate,infant_sum1,infant_sum2,postneonate_sum1,postneonate_sum2,age5_9_sum1,age5_9_sum2,age5_9_sum3,age5_9_sum3b,age5_9_sum4,age5_9_sum1_count,age5_9_sum2_count,age5_9_sum3_count,age5_9_sum3b_count,age5_9_sum4_count,black_age5_9_sum1,black_age5_9_sum2,black_age5_9_sum3,black_age5_9_sum3b,black_age5_9_sum4,white_age5_9_sum1,white_age5_9_sum2,white_age5_9_sum3,white_age5_9_sum3b,white_age5_9_sum4,age25plus_sum1,age25plus_sum2,age25plus_sum3,age25plus_sum3b,age25plus_sum4,pop60,povrate60,hsspend_per_cap68,socspend_per_cap68,othspend_per_cap68,totspend_per_cap68,hsspend_per_cap72_a,hsspend_per_cap72_b,hsspend_per_cap72_c,socspend_per_cap72,othspend_per_cap72,totspend_per_cap72,hs72cpos,hs68pos,state,pct_urban_1960,pct_black_1960
27057,,,,,,,,,,,,,,,,1,2777.778,0,0,0,0,0,0,0,2777.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2777.778,2777.778,2777.778,2777.778,0,1,1,1,1,,,,,,0,2777.778,2777.778,2777.778,2777.778,0,245.098,490.1961,490.1961,735.2941,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27,,
32015,,,,,,,,,.5119753,.4917752,.5992236,,.6423213,.7018028,.7838531,0,25.24774,0,0,0,0,0,0,0,0,0,1030.422,0,0,0,0,0,0,0,0,294.4063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.74256,39.13787,212.9828,111.0423,284.8873,13085,2.163443,0,121.3193,7366.327,7487.646,0,0,0,126.7575,9198.734,9325.491,0,0,32,96.5,.3
33030,22140.99,.7823092,.0100082,0,0,24.55934,20.6992,23.94314,.4745722,.4449261,.5302399,.4468216,.4846507,.4163093,.4577076,0,20.82182,0,.5078493,0,0,.1015699,.1015699,.8125589,.6094192,6.906751,1236.817,0,11.51473,1.354674,1.354674,0,7.450707,35.89886,14.22408,286.5135,0,2.709348,1.354674,1.354674,0,3.386685,20.32011,12.8694,21.67478,57.57365,8.805381,29.12549,.7109891,1.320408,2.132967,8.227159,9.039718,7,13,21,81,89,0,0,2.231271,18.96581,21.19708,.797134,1.480392,2.16365,7.174206,7.857463,33.02087,91.48019,845.6,138.136,892.2557,1300623,5.289818,.9793709,201.4797,1364.498,1565.978,.020321,.020321,.1143143,354.2351,1613.147,1967.496,1,1,33,99.7,3
47107,,,,,,,,,,,,,,,,1,92.25092,0,0,0,0,0,46.12546,0,0,0,1229.256,0,0,0,0,0,0,0,0,368.7769,0,0,0,0,0,0,0,0,0,0,0,0,46.12546,46.12546,46.12546,46.12546,46.12546,1,1,1,1,1,0,0,0,0,0,50.83884,50.83884,50.83884,50.83884,50.83884,30.05982,99.1974,754.5015,207.4128,862.7168,10200,5.341246,0,1036.885,4047.709,5084.593,0,0,0,1152.298,5539.432,6691.729,0,0,47,100,1.4
31002,36000.86,.7765926,.0402751,.0319952,.0165598,25.93913,22.34419,24.87069,.5151891,.5029131,.5788441,.5359505,.5630448,.5358949,.5556518,0,23.74845,0,.1684287,.1684287,0,0,.1684287,1.010572,.5052862,8.926722,951.7429,0,9.5706,0,0,0,9.5706,31.902,10.634,226.5042,0,2.1268,0,0,0,6.380399,19.1412,10.634,19.1412,51.0432,8.507199,27.6484,.5052862,1.010572,2.021145,9.937294,10.94787,3,6,12,59,65,0,0,0,22.7851,22.7851,.5504395,1.100879,2.201758,9.724431,10.82531,37.96204,96.19041,829.8413,141.7814,875.4323,783967,5.378932,.2270682,120.3755,646.301,766.6765,.0386632,.0386632,.0921369,308.0978,696.8828,1005.073,1,1,31,99.6,2.1
14022,1251.068,.7737679,0,0,0,26.8238,22.89109,31.56656,.3862715,.4228657,.504186,.5492944,.6505666,.5983244,.7073119,0,29.65944,.1786713,.1786713,0,0,.1786713,.1786713,1.250699,1.786713,9.64825,1008.023,0,7.761489,.9701862,0,0,10.67205,25.22484,17.46335,241.5764,0,3.880745,.9701862,0,0,7.761489,14.55279,16.49317,19.40372,44.62856,12.61242,27.16521,.7146852,2.501398,3.752097,12.14965,13.40035,4,14,21,68,75,12.41311,24.82622,37.23932,37.23932,49.65243,.5645635,2.070066,3.199193,11.85583,12.98496,21.44892,62.80367,575.1088,107.8104,620.1155,313972,5.4788,.0194152,134.2713,382.9777,517.249,.5503962,.5503962,.6934997,336.5677,466.1676,803.4288,1,1,14,85.5,.2
27031,,,,,,,,,.5016903,.5006762,.6081812,,.770453,.719405,.8045977,0,30.4878,0,0,0,0,0,0,0,0,0,1187.335,0,0,0,0,0,0,0,131.9261,263.8522,0,0,0,0,0,0,0,131.9261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.34526,87.13997,614.5661,270.5925,798.0187,2952,6.284153,0,182.5287,1007.914,1190.443,0,0,0,328.5565,1348.759,1677.316,0,0,27,0,0
21016,15359.85,.9468098,.0331469,0,.0662938,24.75927,23.57052,27.56997,.4195127,.4049509,.4554187,.4115059,.5009497,.4594546,.4911966,0,21.1521,0,.4316755,0,0,.4316755,.2158377,.6475132,1.510864,6.259295,1148.955,0,14.07405,0,0,1.27946,7.676757,19.19189,12.7946,271.2454,0,10.23568,0,0,0,5.117838,14.07405,11.51514,23.03027,42.22216,15.35352,29.42757,1.079189,2.590053,3.237566,8.849347,9.496861,5,12,15,41,44,0,2.173016,4.346031,2.173016,4.346031,1.012666,2.531665,3.037998,9.620327,10.12666,23.56357,65.57156,550.7856,118.5896,603.8037,340248,6.288978,.8129164,944.6011,1194.483,2139.084,.830418,.830418,.830418,1151.001,1540.417,2692.248,1,1,21,86.1,3.4
31014,11201.93,.978314,0,0,0,30.06491,26.7142,29.28459,.4285859,.4198313,.5134801,.4941349,.5327418,.5036275,.5430899,0,26.23856,0,0,0,0,.2852017,0,.8556052,.5704035,7.985649,1096.516,0,7.614697,0,0,0,13.32572,24.74776,17.13307,207.5005,0,5.711022,0,0,0,9.518371,11.42204,17.13307,20.94041,45.68818,15.22939,26.65144,.2852017,.8556052,1.71121,8.841254,9.696859,1,3,6,31,34,0,0,0,0,0,.3000813,.9002439,1.800488,9.002439,9.902683,26.24666,88.69168,654.3812,133.5123,699.2018,260815,6.575052,.0615198,147.5998,783.0724,930.6722,.0631627,.0631627,.0631627,252.9267,1186.644,1439.634,1,1,31,73.6,2.1
47007,4773.999,.4835006,.0645624,.0645624,0,21.27602,15.58778,21.06391,,,,.5232953,.4844105,.4361215,,0,19.44567,0,1.296378,0,0,0,0,3.889134,0,1.296378,1052.382,0,9.48092,0,0,0,4.74046,18.96184,28.44276,270.2062,0,9.48092,0,0,0,4.74046,9.48092,28.44276,14.22138,33.18322,14.22138,23.7023,1.296378,1.296378,5.185512,2.592756,6.48189,1,1,4,2,5,0,0,0,0,0,1.614309,1.614309,6.457237,3.228618,8.071547,24.46336,70.0658,572.9711,131.0111,633.9164,163232,6.683162,.2153956,288.8263,2873.451,3162.277,0,0,0,242.519,4448.078,4690.597,0,1,47,100,5.3
