oldcode,_type_,_freq_,pctsch14_1960,pctsch5_34_1960,pct_hsormore_25plus_1960,pop14_17_1960,pop5_34_1960,pop25plus_1960,povrate60
,,,,,,,,,
1001,0,1,84.6,.532445,26.2,1558,9231,9229,52.95928
1002,0,1,87.9,.5760906,30.2,3917,23932,24550,41.67101
1003,0,1,88.2,.6253658,20.2,2187,11961,12207,65.64565
1004,0,1,84,.5528736,16.5,1269,6960,7194,56.27055
1005,0,1,82.7,.5190638,19.2,2108,12091,13548,45.62446
1006,0,1,83.3,.6377352,21.6,1201,6429,6328,71.88475
1007,0,1,88.3,.5803685,20.5,2239,11777,12237,63.27154
1008,0,1,87.1,.5207049,31.1,6789,49481,48062,34.06308
1009,0,1,81,.5550046,23.2,2935,17344,20340,42.77838
1010,0,1,81.9,.4985529,20.6,1253,7947,8461,47.20592
1011,0,1,84.4,.5215125,18.7,2175,12086,13657,52.22901
1012,0,1,85.9,.5925639,18.7,1542,9037,8384,62.10922
1013,0,1,84.1,.5565723,24.4,2052,12568,12549,58.46618
1014,0,1,83.7,.5676848,19.4,1036,5533,6892,49.76548
1015,0,1,78,.4743829,16.2,879,5348,5708,52.19971
1016,0,1,79.7,.4948556,26.3,2301,15162,15509,50.68407
1017,0,1,86.4,.5289862,33.5,3467,22942,24111,35.32662
1018,0,1,92.4,.632311,18.7,1589,8412,8894,62.96134
1019,0,1,87.4,.578692,21.1,855,5153,5575,51.69877
1020,0,1,84.8,.5443141,21.8,2812,16022,19802,46.30926
1021,0,1,83.3,.5841672,19.2,1228,6796,7942,64.90812
1022,0,1,86.1,.5467485,17.6,3739,21990,24091,48.08134
1023,0,1,84,.4217961,35.8,2001,16636,14871,40.67883
1024,0,1,85.8,.5587392,32.6,4399,28618,26481,58.20935
1025,0,1,80.3,.5314555,17.5,3307,19313,22534,49.62872
1026,0,1,86.2,.527797,25.2,2396,14426,15796,47.93242
1027,0,1,87.3,.5211267,25,2743,16756,16691,47.24581
1028,0,1,86.1,.5324144,28.9,7033,46646,51879,35.82675
1029,0,1,82.9,.5531051,20.9,1314,7391,8889,52.51355
1030,0,1,85,.5192474,20.6,1795,10417,12071,49.874
1031,0,1,78.4,.501713,21.1,1883,10508,12003,53.8095
1032,0,1,90.4,.6257978,17.4,1216,6737,6143,77.78582
1033,0,1,86.3,.6048699,18.3,1683,9569,8818,70.75676
1034,0,1,83.5,.5807015,19.1,1408,7441,7711,64.05679
1035,0,1,86.4,.5607103,29.4,3843,24724,26560,46.03269
1036,0,1,82.2,.5074806,17.4,3121,18314,18688,52.10014
1037,0,1,85.5,.5022791,36.8,40993,301432,341992,30.84088
1038,0,1,76.4,.4951769,17.9,1126,6531,7903,46.94554
1039,0,1,83.4,.5242416,32.7,4326,30526,31681,35.30011
1040,0,1,79.6,.5270837,17.8,2186,12406,11850,56.77119
1041,0,1,83.6,.6176995,35.9,3483,28046,21898,42.51073
1042,0,1,80.5,.5224203,23.9,2949,18510,17961,49.06786
1043,0,1,85,.6157722,18.6,1472,7938,6332,76.94733
1044,0,1,87.9,.6570048,29.5,2091,13041,13277,60.51723
1045,0,1,82.7,.4666773,43,7429,62645,57301,29.39149
1046,0,1,84.8,.5897359,23.6,2215,13367,12827,63.18445
1047,0,1,84.5,.5327075,19.1,1830,10120,12139,52.7599
1048,0,1,83.2,.5023446,23.8,3532,23458,25327,41.13768
1049,0,1,87.9,.5209659,37.9,21808,157446,156735,31.98251
