oldcode,_type_,_freq_,ed_25plus_hsormore70,ed_25plus_collegeormore70,ed_18_24_hsormore70,ed_18_24_collegeormore70,total_pop25_plus70,total_pop18_24_70,total_pop70,povrate60
,,,,,,,,,,
1001,0,1,.4521876,.0635565,.481064,.028404,12068,2218,23771,52.95928
1002,0,1,.4059764,.0646492,.5218832,.0238884,31524,5735,57841,41.67101
1003,0,1,.3120976,.0729414,.3919831,.0194093,11804,2370,21993,65.64565
1004,0,1,.2691988,.041863,.3954176,.0280857,7214,1353,13650,56.27055
1005,0,1,.2951079,.0266719,.5060877,.0073052,15147,2464,26226,45.62446
1006,0,1,.2708691,.0539334,.3157895,.0263158,5822,1026,11384,71.88475
1007,0,1,.2952244,.0456463,.4632319,.0398126,11852,2135,21294,63.27154
1008,0,1,.4137242,.0752837,.6463677,.0452306,52083,15830,100279,34.06308
1009,0,1,.3261408,.0419182,.4871119,.0228471,20206,3414,35245,42.77838
1010,0,1,.3017212,.0375014,.492674,.0274725,8773,1638,15222,47.20592
1011,0,1,.2676066,.0295521,.4734834,.0122091,14043,2621,24612,52.22901
1012,0,1,.3175853,.0431878,.4206397,.0162945,8382,1657,16217,62.10922
1013,0,1,.3725708,.0547397,.5248312,.0349623,13482,2517,25755,58.46618
1014,0,1,.3317502,.0434418,.5426975,.0151636,7159,1253,12296,49.76548
1015,0,1,.2691737,.0267194,.508079,0,6063,1114,10732,52.19971
1016,0,1,.4013205,.057704,.6019958,.0422372,18023,4309,33800,50.68407
1017,0,1,.4371938,.058113,.5734528,.0225047,26741,4799,48046,35.32662
1018,0,1,.2880803,.0413443,.468486,.0363873,8272,1539,15137,62.96134
1019,0,1,.3022074,.0343378,.5202109,.016696,5708,1138,10462,51.69877
1020,0,1,.3174563,.0465163,.4673698,.0214239,19735,3034,33369,46.30926
1021,0,1,.2609959,.0390966,.4358186,.0199846,7571,1301,12927,64.90812
1022,0,1,.3031939,.0385134,.5741391,.0166901,28899,5692,51094,48.08134
1023,0,1,.5537645,.0898445,.7027194,.0472289,21092,14525,51387,40.67883
1024,0,1,.4142293,.0884677,.5394856,.0956127,26326,6610,53684,58.20935
1025,0,1,.2752263,.0368748,.4691018,.0125094,23973,3997,40891,49.62872
1026,0,1,.3800907,.0541706,.4530387,.0151934,17851,3620,32542,47.93242
1027,0,1,.3455062,.0475118,.4688664,.024215,18648,3758,34268,47.24581
1028,0,1,.4078825,.0523922,.5813476,.0295809,52775,9736,91238,35.82675
1029,0,1,.3024593,.0383264,.4346649,.0291131,9393,1477,15726,52.51355
1030,0,1,.3264195,.0343483,.5291734,.0153971,13596,2468,23208,49.874
1031,0,1,.3192553,.0446522,.507579,.0220875,12407,2309,21106,53.8095
1032,0,1,.2683893,.064504,.2985258,.0036855,5302,814,10244,77.78582
1033,0,1,.2584026,.0499681,.2939439,.034712,7825,1354,15247,70.75676
1034,0,1,.2978606,.0481712,.4613201,.012775,7245,1409,12759,64.05679
1035,0,1,.4270696,.070294,.5184102,.0264969,30344,5812,54556,46.03269
1036,0,1,.285117,.0336371,.4871979,.0134003,21286,4179,37975,52.10014
1037,0,1,.4728992,.0954091,.6052678,.0530016,354547,67998,630404,30.84088
1038,0,1,.2609853,.0343784,.43861,.0216216,8261,1295,13462,46.94554
1039,0,1,.4400362,.0826936,.6249672,.0286465,36472,7610,66725,35.30011
1040,0,1,.2870296,.0239678,.4519264,.0145783,13685,2881,26172,56.77119
1041,0,1,.4852351,.1660483,.7570674,.0714003,26414,15140,59848,42.51073
