oldcode,total_pop_80,pop16_19_80,pop18_24_80,pop25plus_80,pop18plus_80,hsplus_25plus_80,somecollege_25plus_80,collegeplus_25plus_80,hsplus_18plus_80,somecollege_18plus_80,collegeplus_18plus_80,hsplus_18_24_80,somecollege_18_24_80,collegeplus_18_24_80,inschool_16_19_80,pctinschool_16_19_80,pcthsplus_18_24_80,pctsomecollege_18_24_80,pctcollegeplus_18_24_80,pcthsplus_25plus_80,pctsomecollege_25plus_80,pctcollegeplus_25plus_80,povrate60
1001,32259,2834,4007,17440,21447,10366,4221,2117,13105,5140,2251,2739,919,134,1942,.6852505,.6835538,.2293486,.0334415,.5943807,.2420298,.1213876,52.95928
1002,78556,5930,8872,45605,54477,27480,12100,5498,33125,13972,5888,5645,1872,390,4047,.682462,.6362714,.2110009,.0439585,.6025655,.2653218,.120557,41.67101
1003,24756,1936,2574,14092,16666,6333,2662,1300,7825,3139,1393,1492,477,93,1487,.7680785,.5796426,.1853147,.0361305,.4494039,.1889015,.0922509,65.64565
1004,15723,1214,1840,8834,10674,3580,969,433,4676,1198,496,1096,229,63,713,.5873147,.5956522,.1244565,.0342391,.4052524,.1096898,.0490152,56.27055
1005,36459,2610,3908,21640,25548,9974,2963,1144,12524,3536,1244,2550,573,100,1599,.6126437,.6525077,.1466223,.0255885,.4609057,.1369224,.0528651,45.62446
1006,10596,958,1129,5887,7016,2414,1090,516,3043,1323,528,629,233,12,744,.7766179,.5571302,.2063773,.0106289,.4100561,.1851537,.0876508,71.88475
1007,21680,1438,2192,12609,14801,5680,2045,1029,7224,2471,1124,1544,426,95,995,.6919332,.7043796,.1943431,.0433394,.4504719,.1621857,.0816084,63.27154
1008,119761,11444,20255,65341,85596,37073,15662,7213,51917,20876,8056,14844,5214,843,6286,.5492834,.7328561,.2574179,.0416194,.5673773,.2396964,.1103901,34.06308
1009,39191,2790,4225,23108,27333,10492,3948,1710,12728,4665,1841,2236,717,131,1870,.6702509,.5292308,.1697041,.0310059,.4540419,.1708499,.0740003,42.77838
1010,18760,1268,2123,11227,13350,4855,1697,712,6251,2024,723,1396,327,11,740,.5835962,.6575601,.1540273,.0051813,.4324397,.1511535,.0634185,47.20592
1011,30612,2168,3461,17932,21393,8254,2676,1158,10262,3018,1232,2008,342,74,1367,.6305351,.5801792,.0988154,.0213811,.4602945,.1492304,.0645773,52.22901
1012,16839,1262,1864,9207,11071,4112,1417,640,5172,1678,704,1060,261,64,826,.6545166,.5686696,.1400215,.0343348,.4466167,.1539046,.0695123,62.10922
1013,27702,2279,3091,15077,18168,7450,2854,1344,9403,3322,1455,1953,468,111,1678,.7362878,.6318343,.1514073,.0359107,.4941301,.1892949,.0891424,58.46618
1014,13703,988,1467,8053,9520,3752,1169,479,4611,1433,527,859,264,48,686,.694332,.5855488,.1799591,.0327198,.4659133,.1451633,.0594809,49.76548
1015,12595,910,1403,7425,8828,2847,816,431,3637,976,456,790,160,25,472,.5186813,.5630791,.1140413,.017819,.3834344,.109899,.0580471,52.19971
1016,38533,2910,4398,22676,27074,12840,6144,2766,15833,7303,3013,2993,1159,247,2257,.7756014,.6805366,.2635289,.0561619,.5662374,.2709472,.1219792,50.68407
1017,54519,4194,6540,32231,38771,18000,6790,3034,22365,8249,3331,4365,1459,297,2664,.6351931,.6674312,.2230887,.0454128,.5584686,.2106667,.094133,35.32662
1018,15884,1251,1852,9036,10888,3839,1270,556,4948,1535,596,1109,265,40,845,.6754596,.5988121,.1430885,.0215983,.4248561,.1405489,.0615317,62.96134
1019,11377,746,1255,6646,7901,2866,766,237,3610,988,274,744,222,37,519,.6957105,.5928287,.1768924,.0294821,.4312368,.1152573,.0356605,51.69877
1020,36850,2644,4029,22916,26945,10145,3744,1636,12645,4670,1792,2500,926,156,1816,.6868382,.6205013,.2298337,.0387193,.4427038,.1633793,.0713912,46.30926
1021,14110,1024,1456,8472,9928,3187,1125,576,3957,1352,592,770,227,16,661,.6455078,.5288461,.1559066,.010989,.3761804,.1327904,.0679887,64.90812
1022,61642,4475,6987,36781,43768,17146,5793,2671,21833,7157,2802,4687,1364,131,2807,.6272626,.6708173,.1952197,.0187491,.4661646,.1574998,.072619,48.08134
1023,47821,4013,8300,24890,33190,16154,7579,2898,22296,9353,3246,6142,1774,348,2251,.560927,.74,.2137349,.0419277,.6490157,.3044998,.1164323,40.67883
1024,53981,4573,6715,28837,35552,15430,6840,3265,20028,8528,3552,4598,1688,287,3154,.6897004,.6847357,.2513775,.0427401,.5350764,.2371953,.1132226,58.20935
1025,53658,3749,6115,31948,38063,13632,4696,1808,17439,5384,1925,3807,688,117,2175,.5801547,.6225675,.1125102,.0191333,.4266934,.1469889,.056592,49.62872
1026,43390,3152,5221,25043,30264,14458,5289,2567,17618,6212,2700,3160,923,133,2060,.6535533,.605248,.1767861,.025474,.577327,.2111967,.1025037,47.93242
1027,38440,3041,4514,22023,26537,11181,3951,1586,14216,4890,1700,3035,939,114,2066,.6793818,.6723527,.2080195,.0252548,.5076965,.1794033,.0720156,47.24581
1028,103057,6760,11700,61730,73430,33888,13544,5491,42097,16466,5938,8209,2922,447,4682,.6926035,.7016239,.2497436,.0382051,.5489714,.2194071,.0889519,35.82675
1029,18809,1310,2025,11238,13263,4898,1576,820,6233,1937,862,1335,361,42,951,.7259542,.6592593,.1782716,.0207407,.4358427,.1402385,.0729667,52.51355
1030,28350,1997,3182,17173,20355,7742,2680,1029,9847,3220,1112,2105,540,83,1387,.6945418,.6615337,.1697046,.0260842,.450824,.1560589,.0599196,49.874
1031,24253,1733,2630,14473,17103,6657,2157,861,8227,2616,894,1570,459,33,1109,.6399308,.5969582,.1745247,.0125475,.4599599,.1490361,.0594901,53.8095
1032,11021,961,1211,5805,7016,2317,1036,558,3047,1272,585,730,236,27,784,.8158169,.6028076,.1948803,.0222956,.3991387,.1784668,.096124,77.78582
1033,15604,1404,1855,8424,10279,3217,1210,564,4380,1511,599,1163,301,35,1005,.715812,.6269542,.1622642,.0188679,.3818851,.1436372,.0669516,70.75676
1034,15302,1094,1645,9013,10658,3962,1583,779,4916,1846,814,954,263,35,723,.6608775,.5799392,.1598784,.0212766,.4395873,.1756352,.0864307,64.05679
1035,74632,5455,8688,42780,51468,24936,10956,5435,30788,13082,5834,5852,2126,399,4032,.7391384,.6735727,.2447053,.0459254,.5828892,.256101,.1270453,46.03269
1036,51407,3564,5970,29555,35525,14132,5090,1996,17924,5919,2126,3792,829,130,1920,.5387205,.6351759,.138861,.0217755,.4781594,.1722213,.0675351,52.10014
1037,671324,47259,86468,401023,487491,259492,126571,63229,325384,156481,70836,65892,29910,7607,34541,.7308872,.7620391,.3459083,.0879747,.6470751,.3156203,.1576693,30.84088
1038,16453,1155,1722,9791,11513,4208,1220,580,5227,1418,629,1019,198,49,769,.6658009,.5917538,.1149826,.0284553,.4297825,.1246042,.0592381,46.94554
1039,80546,6630,11284,46380,57664,26714,11153,6044,35196,14678,6699,8482,3525,655,4446,.6705883,.7516838,.3123892,.0580468,.575981,.24047,.1303148,35.30011
1040,30170,2464,3433,16676,20109,7162,1766,665,9354,2270,722,2192,504,57,1528,.6201299,.6385086,.1468104,.0166036,.4294795,.1059007,.0398777,56.77119
1041,76283,8964,21086,35970,57056,22349,12489,7777,41178,25414,9523,18829,12925,1746,7644,.8527443,.8929622,.6129659,.0828038,.6213233,.347206,.216208,42.51073
1042,46005,3597,5594,26034,31628,13197,4925,2277,16805,5751,2394,3608,826,117,2307,.6413678,.6449767,.1476582,.0209153,.506914,.1891757,.0874626,49.06786
1043,13253,1283,1666,6312,7978,2683,961,430,3715,1224,470,1032,263,40,982,.7653936,.6194478,.1578631,.0240096,.4250634,.1522497,.0681242,76.94733
1044,26829,2684,4894,13949,18843,7569,4397,2526,11608,6779,2872,4039,2382,346,2272,.8464978,.8252963,.4867184,.0706988,.5426195,.3152197,.1810883,60.51723
1045,196966,17001,28847,110053,138900,77154,42436,23506,98481,51704,25065,21327,9268,1559,11776,.6926652,.7393143,.3212813,.0540437,.7010622,.385596,.213588,29.39149
1046,25047,2060,2733,13756,16489,6629,2388,1207,8510,3059,1385,1881,671,178,1650,.8009709,.6882547,.2455177,.0651299,.4818988,.173597,.0877435,63.18445
1047,30041,2134,3387,17924,21311,7577,2383,1085,9633,2866,1158,2056,483,73,1288,.6035614,.6070269,.1426041,.021553,.4227293,.1329502,.0605334,52.7599
1048,65622,4844,7545,39097,46642,19584,7637,3377,24675,9031,3651,5091,1394,274,3197,.6599917,.6747515,.1847581,.0363154,.500908,.1953347,.0863749,41.13768
1049,364980,28401,49454,200918,250372,123872,54001,24926,159197,67324,27319,35325,13323,2393,19302,.679624,.7143002,.2694019,.0483884,.6165301,.2687714,.1240606,31.98251
1050,22651,1794,2436,12314,14750,6235,2175,1068,7732,2758,1179,1497,583,111,1273,.7095875,.614532,.2393268,.0455665,.5063342,.1766282,.0867305,62.36896
1051,197038,15507,27063,110081,137144,73540,39199,21989,94022,48280,23788,20482,9081,1799,11185,.7212871,.7568266,.3355504,.0664745,.6680535,.3560923,.1997529,36.75657
1052,90231,6706,10391,52269,62660,31318,13007,6164,38489,15193,6610,7171,2186,446,4246,.6331643,.6901165,.2103744,.0429218,.5991697,.2488473,.1179284,36.46137
1053,15012,1481,1929,7858,9787,3390,1374,762,4873,1895,842,1483,521,80,1203,.812289,.7687921,.2700881,.0414723,.4314075,.1748537,.0969712,75.13681
1054,21481,1698,2398,12110,14508,5310,1694,844,6972,2021,899,1662,327,55,1159,.6825677,.6930776,.1363636,.0229358,.4384806,.1398844,.0696945,58.91557
1055,28050,2928,5237,14933,20170,7081,3102,1690,11536,5635,1972,4455,2533,282,2329,.7954235,.8506778,.4836739,.0538476,.4741847,.2077278,.1131722,61.9207
1056,20075,1419,2154,11847,14001,4882,1690,858,6047,1964,891,1165,274,33,991,.6983792,.5408542,.1272052,.0153203,.4120874,.1426522,.0724234,50.72083
1057,47356,3708,5997,26790,32787,11476,3820,1536,15495,5023,1759,4019,1203,223,2359,.636192,.6701684,.2006003,.0371853,.4283688,.1425905,.0573348,49.99789
1058,41205,2925,4630,23642,28272,11801,3854,1519,14655,4498,1648,2854,644,129,1722,.5887179,.6164147,.1390929,.0278618,.4991541,.163015,.0642501,44.42008
1059,66298,4866,8535,36976,45511,23503,11768,6564,29400,14231,6938,5897,2463,374,3347,.687834,.6909198,.2885765,.0438196,.6356285,.3182605,.1775206,45.08377
1060,16908,1592,2498,8546,11044,3971,1657,843,5817,2445,934,1846,788,91,1287,.8084171,.7389912,.3154524,.0364291,.4646618,.1938919,.0986426,73.84322
1061,73826,5620,9106,40547,49653,19923,7158,3154,25436,8584,3427,5513,1426,273,3677,.6542705,.605425,.1566,.0299802,.4913557,.1765359,.0777863,45.34272
1062,38676,2723,4093,22959,27052,11092,4193,1904,13555,5072,2051,2463,879,147,1757,.6452442,.6017591,.2147569,.035915,.4831221,.1826299,.0829304,40.67229
1063,137541,12924,26458,73683,100141,44250,21295,12237,66305,34276,14379,22055,12981,2142,10209,.7899257,.8335853,.4906267,.0809585,.6005456,.2890083,.1660763,40.56952
1064,68660,4837,7839,40222,48061,18352,5700,2564,23126,6891,2745,4774,1191,181,3078,.6363449,.6090062,.1519326,.0230897,.4562677,.1417135,.0637462,44.65673
1065,16821,1378,1967,8971,10938,4168,1132,489,5495,1411,528,1327,279,39,930,.6748912,.6746314,.1418404,.0198271,.4646082,.1261844,.054509,54.22368
1066,14755,1249,1646,7574,9220,3151,1299,717,4134,1563,759,983,264,42,840,.672538,.5972053,.1603888,.0255164,.4160285,.1715078,.094666,78.65428
