oldcode,popall,incomeall,same_state_bornall,same_state_5yrsall,less_than_hsall,hsall,some_clgall,collegeall,grad_degreeall,workedall,pop18_24,income18_24,same_state_born18_24,same_state_5yrs18_24,less_than_hs18_24,hs18_24,some_clg18_24,college18_24,grad_degree18_24,worked18_24,pop25_34,income25_34,same_state_born25_34,same_state_5yrs25_34,less_than_hs25_34,hs25_34,some_clg25_34,college25_34,grad_degree25_34,worked25_34,pop35_54,income35_54,same_state_born35_54,same_state_5yrs35_54,less_than_hs35_54,hs35_54,some_clg35_54,college35_54,grad_degree35_54,worked35_54,pop55p,income55p,same_state_born55p,same_state_5yrs55p,less_than_hs55p,hs55p,some_clg55p,college55p,grad_degree55p,worked55p,pop18_24b,income18_24b,same_state_born18_24b,same_state_5yrs18_24b,less_than_hs18_24b,hs18_24b,some_clg18_24b,college18_24b,grad_degree18_24b,worked18_24b,pop25_34b,income25_34b,same_state_born25_34b,same_state_5yrs25_34b,less_than_hs25_34b,hs25_34b,some_clg25_34b,college25_34b,grad_degree25_34b,worked25_34b,pop35_54b,income35_54b,same_state_born35_54b,same_state_5yrs35_54b,less_than_hs35_54b,hs35_54b,some_clg35_54b,college35_54b,grad_degree35_54b,worked35_54b,pop55pb,income55pb,same_state_born55pb,same_state_5yrs55pb,less_than_hs55pb,hs55pb,some_clg55pb,college55pb,grad_degree55pb,worked55pb,pop18_24m,income18_24m,same_state_born18_24m,same_state_5yrs18_24m,less_than_hs18_24m,hs18_24m,some_clg18_24m,college18_24m,grad_degree18_24m,worked18_24m,pop25_34m,income25_34m,same_state_born25_34m,same_state_5yrs25_34m,less_than_hs25_34m,hs25_34m,some_clg25_34m,college25_34m,grad_degree25_34m,worked25_34m,pop35_54m,income35_54m,same_state_born35_54m,same_state_5yrs35_54m,less_than_hs35_54m,hs35_54m,some_clg35_54m,college35_54m,grad_degree35_54m,worked35_54m,pop55pm,income55pm,same_state_born55pm,same_state_5yrs55pm,less_than_hs55pm,hs55pm,some_clg55pm,college55pm,grad_degree55pm,worked55pm,pop18_24bm,income18_24bm,same_state_born18_24bm,same_state_5yrs18_24bm,less_than_hs18_24bm,hs18_24bm,some_clg18_24bm,college18_24bm,grad_degree18_24bm,worked18_24bm,pop25_34bm,income25_34bm,same_state_born25_34bm,same_state_5yrs25_34bm,less_than_hs25_34bm,hs25_34bm,some_clg25_34bm,college25_34bm,grad_degree25_34bm,worked25_34bm,pop35_54bm,income35_54bm,same_state_born35_54bm,same_state_5yrs35_54bm,less_than_hs35_54bm,hs35_54bm,some_clg35_54bm,college35_54bm,grad_degree35_54bm,worked35_54bm,pop55pbm,income55pbm,same_state_born55pbm,same_state_5yrs55pbm,less_than_hs55pbm,hs55pbm,some_clg55pbm,college55pbm,grad_degree55pbm,worked55pbm,pop60,povrate60,pct_urban_1960,pct_black_1960,_merge,state,hsplus18_24,hsplus25_34,hsplus35_54,hsplus55p,hsplus18_24b
27057,39,10566.67,1,1,0,0,1,0,0,1,13,700,1,1,0,0,1,0,0,1,,,,,,,,,,,26,15500,1,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,20000,1,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,0,,,1,27,1,,1,,
32015,14238,29136.27,.1955331,.7533361,.1155359,.1549375,.2514398,.216463,.2616238,.6880882,932,6399.581,.3905579,.7081545,.2457082,.2671674,.3723176,.110515,.0042918,.6534335,2538,21744.58,.3104807,.4251379,.0169425,.1477541,.3364854,.2765957,.2222222,.8195429,6342,36952.56,.1415957,.7887102,.0220751,.124251,.2360454,.2470829,.3705456,.8568275,3663,32355.84,.1233961,.9284739,.1321321,.2167622,.2369642,.1938302,.2203112,.4032214,,,,,,,,,,,,,,,,,,,,,12,32000,,,0,0,0,0,1,1,11,46454.545,,1,0,.5454546,.4545455,0,0,1,516,6745.354,.4127907,.7325581,.25,.3391473,.2655039,.1375969,.0077519,.6104651,1238,30380.54,.3497577,.3885299,.0226171,.1373183,.276252,.2471729,.3166398,.9345719,3203,54740.11,.1607868,.8033094,.010615,.1002185,.1685919,.2176085,.502966,.9684671,1814,50183.97,.1267916,.9321941,.0970232,.1576626,.1990077,.2171996,.329107,.5380375,,,,,,,,,,,,,,,,,,,,,6,45000,,,0,0,0,0,1,1,5,95000,,1,0,0,1,0,0,1,13085,2.163443,96.5,.3,3,32,.75,.7608353,.6073794,.6475567,
33030,1055695,28476.73,.7413638,.86927,.1912153,.2849156,.2541766,.1599818,.1097107,.6166052,126176,9278.223,.8151233,.8356502,.129248,.2600257,.4471294,.1536425,.0099543,.6332345,203734,26271.82,.7729638,.7423159,.0793535,.2466795,.3138455,.254847,.1052745,.7780685,347330,39308.2,.7085999,.8775718,.0986123,.2795699,.263182,.181185,.1774508,.7985806,329973,29774.09,.7082337,.9467047,.2688917,.3603446,.1703321,.1050207,.0954108,.3811797,14891,7347.008,.749446,.7787254,.2044188,.3057552,.4256262,.0592304,.0049694,.5626217,18516,18026.129,.5261396,.7079823,.1588896,.3100021,.3493195,.1422013,.0395874,.742709,30905,26464.867,.2711212,.8318395,.1999353,.303349,.2960686,.104352,.0962951,.8149167,15850,17821.319,.1989905,.9048581,.4353943,.2865615,.1485174,.062776,.0667508,.4251104,64150,9987.142,.8197194,.8500234,.1451598,.2706469,.4400935,.136555,.0075448,.625721,101421,34746.15,.778744,.751373,.0876248,.240956,.3077075,.2578855,.1058262,.8894607,166199,60946.91,.7137648,.863501,.1015349,.2217582,.2648993,.2092732,.2025343,.9188142,144975,48069.29,.7218969,.9524677,.2422004,.2858079,.1968615,.142735,.1323952,.4998448,6902,8182.4076,.7484787,.8235294,.2322515,.3403361,.378441,.0441901,.0047812,.5554911,8168,19963.195,.5344025,.7198825,.1691969,.3178257,.3458619,.1283056,.03881,.7820764,13345,33140.497,.278906,.8089172,.1915324,.3019108,.2915699,.1049831,.1100037,.857175,6328,24184.629,.2073325,.8955436,.4257269,.2757585,.1575537,.0698483,.0711125,.494153,1300623,5.289818,99.7,3,3,33,.8607976,.815372,.7239369,.6356975,.7906118
47107,8008,31944.75,.13499,.5814186,.1197552,.1466034,.239011,.2696054,.225025,.7029221,684,12152.92,.2002924,.4225146,.1096491,.1812865,.3567252,.3523392,0,.7880117,1658,27424.74,.1212304,.3027744,.0476478,.128468,.2967431,.3437877,.1833534,.8854041,3124,42228.78,.0966709,.5941101,.046735,.1190781,.212548,.2788092,.3428297,.8767605,2265,30828.61,.1470199,.8101545,.1686534,.205298,.2269316,.210596,.188521,.3562914,31,21407.64,,.1290323,0,.2580645,0,.7419355,0,.8709677,53,15660.226,.3018868,.3018868,.1132075,0,.7924528,0,.0943396,.7924528,90,25849.356,.3222222,.7333333,.3444445,.0444444,.1111111,.1555556,.3444445,.7333333,36,7511.1111,.5,.25,.2777778,.6111111,0,.1111111,0,.6111111,284,13665.83,.2957746,.4929577,.0950704,.2640845,.3802817,.2605634,0,.7816901,826,31710.4,.122276,.3510896,.0338983,.1331719,.2627119,.374092,.1961259,.9455206,1493,57905.51,.0830543,.5492297,.0663094,.074347,.1640991,.2679169,.4273275,.9122572,929,44731.5,.1345533,.7933261,.1474704,.1280947,.181916,.2669537,.2755651,.4574812,8,7000,,.5,0,1,0,0,0,.5,6,19000,1,1,0,0,1,0,0,1,28,24082.5,.1428571,.5,.2142857,.1428571,.2142857,.2857143,.1428571,1,28,7657.1429,.3571429,.1785714,.3571429,.6428571,0,0,0,.6428571,10200,5.341246,100,1.4,3,47,.8903509,.7689988,.6104354,.6428256,1
31002,685837,28979.75,.4235759,.8355455,.211785,.2827013,.2186263,.1850644,.101823,.6256618,73168,10671.95,.5926908,.8118166,.1345534,.3169145,.3897195,.1499289,.0088837,.6697327,135014,27232.35,.4775282,.6737968,.0639341,.2593657,.276601,.2972432,.102856,.7954656,230904,40122.18,.3617651,.8342515,.1048574,.2730139,.2258558,.2276531,.1686199,.8046288,218067,28014.32,.3734494,.9413024,.3424177,.330105,.1457992,.1066461,.075032,.3716106,4935,8452.97,.4040527,.6549139,.1876393,.3529889,.3914894,.0652482,.0026342,.564539,6692,19794.867,.316049,.6401674,.1364316,.254483,.3786611,.1806635,.0497609,.7494023,11304,28596.801,.1433121,.7913128,.1779901,.3249292,.2532732,.1431352,.1006723,.8358988,7089,19620.542,.1371138,.9322895,.443363,.2699958,.1579913,.0547327,.0739173,.4378615,37119,11412.33,.5965139,.8326464,.1553652,.3322288,.3607317,.1425954,.0090789,.6607128,66680,35478.25,.4903269,.6841032,.0737552,.2593581,.260168,.2924565,.1142621,.8986652,111401,61019.02,.3671152,.8177305,.1075664,.2246389,.2115421,.251066,.2051867,.9197673,94061,44398.69,.3673893,.9457055,.3208875,.2606394,.1595029,.1481485,.1108217,.4879918,2524,9185.4223,.4286846,.6743265,.2393027,.4148178,.2999208,.0459588,0,.6038035,3105,21803.301,.321095,.6331723,.1610306,.2495974,.3780998,.1697263,.0415459,.7391304,4912,36305.583,.1457655,.7666938,.2054153,.2994707,.2229235,.1671417,.1050489,.8306189,2636,26388.192,.1456753,.9453717,.435129,.2628983,.1908194,.0508346,.0603187,.5121396,783967,5.378932,99.6,2.1,3,31,.856563,.8332099,.7265227,.5825503,.8097265
14022,605663,27301.83,.6169157,.7249163,.1619036,.2238522,.2959187,.2183772,.0999483,.7021793,72895,10522.76,.6832018,.6645724,.1508883,.2432266,.4419507,.1578846,.0060498,.7474724,153252,26139.06,.6415969,.5594968,.0666941,.1990839,.3177968,.3183776,.0980477,.8347428,223358,37669.57,.5682671,.7707447,.0661584,.2139077,.3082898,.2521244,.1595197,.836536,125711,26329.29,.6015226,.8596781,.2575988,.3098456,.2330027,.124476,.075077,.3768167,1880,8942.056,.662766,.4388298,.1946809,.187234,.4654255,.1462766,.006383,.6159574,3434,23459.711,.5433896,.3485731,.0905649,.1240536,.4030285,.2684916,.1138614,.8209085,4224,34857.556,.3259943,.5875947,.0951705,.211411,.3572443,.2303504,.1058239,.8420928,732,17371.873,.2172131,.7213115,.602459,.0819672,.1571038,.0874317,.0710383,.5259563,37253,11464.81,.6752745,.6756771,.1757979,.2431214,.4236437,.1510482,.0063887,.7487182,75775,34893.87,.6424679,.5580469,.0755394,.1854833,.3013659,.3218608,.1157506,.940165,110790,57070.74,.5690405,.7593645,.0671721,.1593014,.2933658,.2751693,.2049914,.9444535,54827,42762.83,.5972058,.8792018,.2188156,.2388422,.2574461,.1708282,.1140679,.5055538,817,9682.5826,.6915545,.376989,.2203182,.2276622,.4137087,.123623,.0146879,.6572828,1628,26837.019,.5386978,.4090909,.1044226,.1099509,.3943489,.2757985,.1154791,.8746929,2031,47382.449,.3175775,.5814869,.0901034,.1880847,.3481044,.254062,.1196455,.8813393,340,23997.444,.2176471,.7617647,.5441176,.1176471,.1823529,.0382353,.1176471,.6911765,313972,5.4788,85.5,.2,3,14,.8430619,.8352582,.7743219,.6673242,.7989361
27031,2497,12532.94,.3724469,.7408891,.3031638,.3572287,.2226672,.0885062,.0284341,.5398478,169,6243.266,.4319527,.7100592,.3372781,.4497041,.1893491,.0236686,0,.5739645,491,11367.8,.4460285,.521385,.1710794,.5112016,.2382892,.0651731,.0142566,.6904277,874,16089.48,.3638444,.7471396,.1510298,.3787185,.278032,.1475973,.0446224,.7494279,832,12611.93,.2992789,.875,.4266827,.2788461,.1971154,.0673077,.0300481,.3040865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,9050.128,.4361702,.7765958,.3723404,.4893617,.0957447,.0425532,0,.7446808,241,17260.6,.5352697,.5311204,.1659751,.5435685,.2157676,.0456432,.0290456,.8298755,429,23949.35,.3496504,.7296037,.1655012,.2960373,.2867133,.1841492,.0675991,.8228438,441,16976.76,.3015873,.8843538,.5238096,.2018141,.1609977,.0770975,.0362812,.3129252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2952,6.284153,0,0,3,27,.6627219,.8146639,.8043478,.5432692,
21016,605908,31973.25,.1379863,.7055774,.1392538,.1701463,.2473164,.2456578,.1976257,.7091836,67068,10197.26,.2546073,.6218912,.1614332,.2474951,.40532,.1750611,.0106906,.7080873,150001,26182.51,.1591389,.5197632,.0680462,.147999,.2785581,.347531,.1578656,.855321,224044,43353.12,.0959945,.7377524,.0660584,.1411866,.2290666,.2628323,.3008561,.8628439,138794,36061.01,.0975907,.889001,.1677666,.2310979,.2118535,.1879692,.2013127,.3960258,10742,9470.544,.1909328,.5478495,.1787377,.3098119,.4198473,.0819214,.0096816,.6588159,21877,20947.352,.131828,.4423367,.0728162,.1993875,.37496,.2674498,.0853865,.8538648,25103,32319.486,.1199458,.6884038,.102418,.1994184,.295383,.2027646,.2000159,.8881807,9419,23369.619,.2132923,.8356513,.3205223,.2076654,.1433273,.1361079,.1923771,.4567364,33286,10502.36,.2627231,.6545094,.1910112,.2573454,.3997777,.1406297,.011236,.7092772,72930,31967.85,.1640203,.5217057,.0747292,.1543946,.2610722,.3299328,.1798711,.9243247,107275,62741.06,.094831,.7216966,.0617292,.1135959,.1905849,.2558285,.3782615,.9457282,60235,56792.14,.0871088,.9060347,.1401013,.1371628,.163908,.2345978,.3242301,.5324147,5284,9466.356,.2187737,.5599924,.2244512,.2988266,.4114307,.0588569,.0064345,.658592,9631,22726.81,.1303084,.4315232,.0709168,.2252103,.3705742,.2534524,.0798463,.8804901,10993,38766.751,.1190758,.6593286,.115619,.1923952,.2628946,.1993996,.2296916,.9203129,3891,31393.578,.2122848,.8936006,.307633,.1837574,.1004883,.1750193,.233102,.5176047,340248,6.288978,86.1,3.4,3,21,.8278762,.7740881,.6330855,.6309206,.8115807
31014,341722,31044.32,.5319119,.7782203,.1743493,.2609694,.240324,.2123334,.1120238,.6762602,40340,10925.63,.6678483,.7545364,.1470749,.2852008,.407883,.1541894,.005652,.7032226,71960,27884.83,.5868677,.58306,.0603947,.2563369,.2831851,.3030573,.0970261,.818955,128574,43317.93,.4751661,.8038872,.0702164,.2446684,.2435096,.2569804,.1846252,.8273757,83900,30579.09,.4726222,.9030036,.2814422,.328093,.1661144,.1369487,.0874017,.4017163,1521,8457.367,.5470086,.6817883,.2189349,.3004602,.3984221,.0788955,.0032873,.5338593,2535,19925.021,.4216962,.6280079,.1404339,.3005917,.3329388,.1629191,.0631164,.7605523,3793,32161.766,.2459794,.7537569,.1805958,.2860533,.2863169,.1463222,.1007118,.8470867,1514,21257.554,.2932629,.8976222,.4649934,.2708058,.1314399,.0376486,.0951123,.4696169,20225,11646.11,.6724846,.7737948,.1735476,.2907293,.3891718,.1414586,.0050927,.7054635,36071,36646.25,.5883397,.5848466,.0711375,.2579912,.2586011,.2928391,.1194311,.9186881,62656,66861.84,.4836887,.7862775,.0700811,.1892397,.2226602,.2706046,.2474145,.939926,37382,48843.75,.4784656,.9161628,.247258,.2570488,.1717672,.1878712,.1360548,.5361404,704,8659.6932,.5525568,.7215909,.3409091,.2840909,.3451705,.0298295,0,.5681818,1308,23314.109,.4021407,.5940367,.1154434,.3654434,.2423547,.191896,.0848624,.7431192,1892,39648.387,.2589852,.7378436,.2093023,.2732558,.2647991,.1448203,.1078224,.8763214,659,30782.296,.2731411,.8998483,.491654,.2109256,.1183612,.0349014,.1441578,.5614567,260815,6.575052,73.6,2.1,3,31,.8472732,.8425792,.7451584,.6311561,.7777778
47007,148571,29491.83,.110533,.5333746,.150635,.1547206,.2084727,.2805527,.2056189,.73268,19395,11374.05,.1273008,.2606342,.1769528,.2216035,.2686775,.3120908,.0206754,.7668471,45009,25811.31,.0938257,.3150259,.115688,.1205314,.1902064,.3685263,.2050479,.8633385,49575,39279.32,.0822592,.6208774,.0925063,.1181644,.206818,.2705598,.3119516,.8778013,31192,33577.3,.1504553,.8638753,.1892793,.2339061,.2214991,.1804629,.1748525,.3442549,2256,11334.21,.2885638,.375,.1467199,.4601064,.2890071,.1010638,.0031028,.7619681,5273,18269.226,.1979898,.3836526,.1602503,.2412289,.3343448,.1750427,.0891333,.8329225,4162,26036.621,.2551658,.5920231,.173234,.2131187,.2743873,.1874099,.1518501,.8709755,2569,16866.874,.5033087,.8372908,.5196574,.2623589,.1230051,.0400934,.0548852,.415726,9418,11860.28,.131769,.2820132,.2200042,.2604587,.232852,.2599278,.0267573,.7949671,23070,28444.08,.0942349,.3177286,.1386649,.1275249,.1824447,.3296055,.2217599,.8939748,25293,48650.26,.078757,.5879097,.0942553,.0942553,.1792986,.2628395,.3693512,.92235,12851,50843.89,.1460587,.8538635,.1613882,.147615,.1646564,.2282313,.2981091,.4410552,1043,11603.239,.3221476,.3892618,.1553212,.5541707,.2138063,.0767018,0,.8111218,2763,18530.283,.1972494,.3441911,.1979732,.2558813,.3224756,.135722,.0879479,.8389432,2161,28363.592,.2378528,.54882,.1790838,.2253586,.250347,.1726053,.1726053,.9065248,1090,22966.785,.5045872,.8146789,.5082569,.2394495,.1385321,.0376147,.0761468,.4330275,163232,6.683162,100,5.3,3,47,.8023717,.6792641,.5955421,.6358682,.8501773
