oldcode,total_pop_00,pop18_24_00,pop25_34_00,pop35_44_00,pop45_64_00,pop65plus_00,hsplus_18_24_00,somecollege_18_24_00,collegeplus_18_24_00,hsplus_25_34_00,somecollege_25_34_00,collegeplus_25_34_00,hsplus_35_44_00,somecollege_35_44_00,collegeplus_35_44_00,hsplus_45_64_00,somecollege_45_64_00,collegeplus_45_64_00,hsplus_65plus_00,somecollege_65plus_00,collegeplus_65plus_00,pcthsplus_18_24_00,pctsomecollege_18_24_00,pctcollegeplus_18_24_00,pcthsplus_25_34_00,pctsomecollege_25_34_00,pctcollegeplus_25_34_00,pcthsplus_35_44_00,pctsomecollege_35_44_00,pctcollegeplus_35_44_00,pcthsplus_45_64_00,pctsomecollege_45_64_00,pctcollegeplus_45_64_00,pcthsplus_65plus_00,pctsomecollege_65plus_00,pctcollegeplus_65plus_00,povrate60
1001,43671,3856,5703,7601,9843,4442,2441,1342,133,4751,2974,1155,6413,3886,1653,7885,4431,1690,2668,1094,474,.6330394,.348029,.0344917,.8330703,.5214799,.202525,.8437048,.5112485,.2174714,.8010769,.4501676,.1716956,.6006303,.2462855,.1067087,52.95928
1002,140415,10748,17282,22203,34851,21674,6775,3665,445,14593,9478,3883,18918,12263,5445,29573,19413,8499,15668,9170,4319,.6303498,.3409937,.0414031,.8444046,.5484319,.2246846,.852047,.5523127,.2452371,.8485553,.5570285,.2438667,.7228938,.4230876,.199271,41.67101
1003,29038,3006,3989,4621,6371,3915,1488,647,60,2787,1407,359,3442,1588,524,4359,2290,884,1629,808,301,.49501,.2152362,.0199601,.6986713,.35272,.0899975,.7448604,.3436486,.1133954,.684194,.3594412,.1387537,.4160919,.2063857,.0768838,65.64565
1004,20826,2126,3095,3252,4779,2414,1320,497,40,2243,1157,326,2166,876,208,3155,1267,262,992,418,166,.6208843,.2337723,.0188147,.7247173,.3738288,.1053312,.6660517,.2693727,.0639606,.66018,.2651182,.0548232,.4109362,.1731566,.0687655,56.27055
1005,51024,4570,7151,7779,12310,6462,2751,1596,174,5573,3168,739,6139,3252,831,9091,4166,1336,2939,1020,329,.6019694,.3492341,.0380744,.7793316,.4430149,.1033422,.789176,.4180486,.1068261,.7385053,.3384241,.1085296,.4548128,.1578459,.050913,45.62446
1006,11714,1233,1718,1871,2468,1513,561,213,23,1177,447,85,1215,514,108,1591,711,259,595,239,134,.4549878,.1727494,.0186537,.6850989,.2601863,.0494761,.6493853,.2747194,.0577231,.6446515,.2880875,.1049433,.3932584,.1579643,.0885658,71.88475
1007,21399,2006,2180,3206,4865,3516,1159,529,39,1612,827,223,2635,1250,394,3493,1701,485,1588,801,331,.5777667,.2637089,.0194417,.7394496,.3793578,.1022936,.8218964,.3898939,.1228946,.7179856,.3496403,.0996917,.4516496,.2278157,.0941411,63.27154
1008,112249,12467,13965,17171,27054,15825,8901,5697,537,11284,6784,2415,13822,7750,2733,21289,12369,4685,8302,3938,1432,.7139649,.4569664,.0430737,.8080201,.4857859,.1729323,.8049619,.4513424,.1591637,.7869077,.4571967,.1731722,.524613,.2488468,.0904897,34.06308
1009,36583,3369,4773,5238,8597,5889,2021,911,68,3815,1970,491,3671,1921,486,5665,2853,964,2568,1112,398,.5998813,.2704067,.020184,.7992877,.4127383,.1028703,.70084,.366743,.0927835,.6589508,.3318599,.1121321,.4360673,.1888266,.0675836,42.77838
1010,23988,1985,3110,3560,6320,3835,1143,509,123,2212,1085,343,2471,991,306,4209,1956,633,1795,790,354,.5758187,.2564232,.0619647,.711254,.3488746,.1102894,.6941011,.2783708,.0859551,.665981,.3094937,.1001582,.4680574,.2059974,.0923077,47.20592
