oldcode,_type_,_freq_,death_rate,tb_rate,other_infectious_rate,diabetes_rate,nutrition_rate,anemias_rate,meningitis_rate,circulatory_rate,respiratory_rate,injury_rate,neop_rate,age1_5_rate,age1_5_tb_rate,age1_5_other_inf_rate,age1_5_diabetes_rate,age1_5_nutrition_rate,age1_5_anemias_rate,age1_5_meningitis_rate,age1_5_circ_rate,age1_5_resp_rate,age1_5_injury_rate,age1_5_neop_rate,age5_9_rate,age5_9_tb_rate,age5_9_other_inf_rate,age5_9_diabetes_rate,age5_9_nutrition_rate,age5_9_anemias_rate,age5_9_meningitis_rate,age5_9_circ_rate,age5_9_resp_rate,age5_9_injury_rate,age5_9_neop_rate,age1_9_rate,age1_9_tb_rate,age1_9_other_inf_rate,age1_9_diabetes_rate,age1_9_nutrition_rate,age1_9_anemias_rate,age1_9_meningitis_rate,age1_9_circ_rate,age1_9_resp_rate,age1_9_injury_rate,age1_9_neop_rate,age10_14_rate,age10_14_tb_rate,age10_14_other_inf_rate,age10_14_diabetes_rate,age10_14_nutrition_rate,age10_14_anemias_rate,age10_14_meningitis_rate,age10_14_circ_rate,age10_14_resp_rate,age10_14_injury_rate,age10_14_neop_rate,age15_19_rate,age15_19_tb_rate,age15_19_other_inf_rate,age15_19_diabetes_rate,age15_19_nutrition_rate,age15_19_anemias_rate,age15_19_meningitis_rate,age15_19_circ_rate,age15_19_resp_rate,age15_19_injury_rate,age15_19_neop_rate,age20_24_rate,age20_24_tb_rate,age20_24_other_inf_rate,age20_24_diabetes_rate,age20_24_nutrition_rate,age20_24_anemias_rate,age20_24_meningitis_rate,age20_24_circ_rate,age20_24_resp_rate,age20_24_injury_rate,age20_24_neop_rate,age25plus_rate,age25plus_tb_rate,age25plus_other_inf_rate,age25plus_diabetes_rate,age25plus_nutrition_rate,age25plus_anemias_rate,age25plus_meningitis_rate,age25plus_circ_rate,age25plus_resp_rate,age25plus_injury_rate,age25plus_neop_rate,black_age1_5_rate,black_age1_5_tb_rate,black_age1_5_other_inf_rate,black_age1_5_diabetes_rate,black_age1_5_nutrition_rate,black_age1_5_anemias_rate,black_age1_5_meningitis_rate,black_age1_5_circ_rate,black_age1_5_resp_rate,black_age1_5_injury_rate,black_age1_5_neop_rate,black_age1_9_rate,black_age1_9_tb_rate,black_age1_9_other_inf_rate,black_age1_9_diabetes_rate,black_age1_9_nutrition_rate,black_age1_9_anemias_rate,black_age1_9_meningitis_rate,black_age1_9_circ_rate,black_age1_9_resp_rate,black_age1_9_injury_rate,black_age1_9_neop_rate,black_age5_9_rate,black_age5_9_tb_rate,black_age5_9_other_inf_rate,black_age5_9_diabetes_rate,black_age5_9_nutrition_rate,black_age5_9_anemias_rate,black_age5_9_meningitis_rate,black_age5_9_circ_rate,black_age5_9_resp_rate,black_age5_9_injury_rate,black_age5_9_neop_rate,povrate60,pop60,pct_urban_1960,pct_black_1960,_merge,state,age5_9_sum2,age25plus_sum2,age5_9_sum2_black
32015,0,11,338.4585,1.640348,.5467827,4.374262,0,1.093565,.5467827,106.0759,15.8567,63.4268,84.75132,41.38216,0,0,0,0,0,0,0,0,20.69108,0,25.24774,0,0,0,0,0,0,0,0,0,12.62387,31.36148,0,0,0,0,0,0,0,0,7.84037,7.84037,67.74412,0,0,0,0,0,0,0,0,33.87206,29.0332,146.7395,0,0,5.869578,0,0,0,11.73916,0,111.522,11.73916,141.5701,0,0,0,0,0,0,12.87001,0,115.8301,0,491.4989,2.730549,.9101831,6.371282,0,1.820366,.9101831,173.845,26.39531,71.90446,131.9765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.163443,13085,96.5,.3,3,32,0,39.13787,0
33030,0,11,865.9782,.6546853,4.821485,13.11417,.6478657,1.13206,.4500962,461.6077,36.62146,39.54027,211.6816,47.7361,.1585917,1.110142,.1585917,.1585917,.7929586,.7929586,1.9031,3.013242,11.4186,6.660851,20.82182,0,.5078493,0,0,.1015699,.1015699,.8125589,.6094192,6.906751,5.484773,31.32945,.0619159,.7429908,.0619159,.0619159,.3714954,.3714954,1.238318,1.547898,8.668226,5.943926,25.91506,0,.1502323,.1502323,.0751161,0,.0751161,1.126742,1.051626,11.11719,5.408361,61.95791,0,.5476943,.0684618,0,.3423089,0,2.738471,1.574621,37.31167,7.804643,102.347,0,.259984,.6932908,0,.3466454,.1733227,4.419729,1.733227,66.38259,9.61941,1364.833,1.060866,7.426065,21.31783,1.016198,1.686219,.5136827,754.1198,58.45933,46.65579,342.1239,89.55728,0,1.68976,0,0,5.06928,0,6.75904,11.82832,21.96688,3.37952,58.46185,0,.6719753,0,0,2.015926,0,4.031852,4.703827,20.15926,5.375802,37.93161,0,0,0,0,0,0,2.231271,0,18.96581,6.693814,5.289818,1300623,99.7,3,3,33,1.320408,91.48019,0
47107,0,5,1147.459,0,6.258867,10.43144,4.172578,0,2.086289,456.8973,52.15722,91.79671,352.5828,162.8665,0,0,0,0,0,0,0,54.28882,0,54.28882,92.25092,0,0,0,0,0,46.12546,0,0,0,46.12546,124.6883,0,0,0,0,0,24.93766,0,24.93766,0,49.87531,40.03202,0,0,0,0,0,0,0,0,40.03202,0,165.8375,0,0,0,0,0,0,0,33.1675,132.67,0,113.798,0,0,0,0,0,0,0,0,85.3485,28.4495,1548.081,0,9.017945,15.02991,6.011964,0,0,655.3041,69.13758,108.2153,498.993,1408.451,0,0,0,0,0,0,0,0,0,0,746.2687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.341246,10200,100,1.4,3,47,46.12546,99.1974,0
31002,0,11,892.5447,.8056032,3.763015,17.25687,.9222037,1.505206,.5618022,469.7833,37.94815,39.70776,222.0603,35.35782,.2525559,1.010224,0,.2525559,0,.7576676,.5051118,3.283226,11.36501,4.798562,23.74845,0,.1684287,.1684287,0,0,.1684287,1.010572,.5052862,8.926722,6.737148,28.39316,.1010433,.5052164,.1010433,.1010433,0,.4041731,.8083462,1.616692,9.902241,5.961553,22.75422,0,0,.1292853,0,.2585706,0,1.292853,.6464266,8.01569,4.395701,70.17493,0,.3629738,.1209913,0,.2419825,0,2.419825,.8469388,47.42857,7.259475,95.34834,.1387894,.5551577,.5551577,0,.1387894,.4163683,4.024893,1.526684,60.3734,6.939471,1353.018,1.227257,5.539241,26.88356,1.426272,2.272084,.6136285,733.6509,58.22837,45.59094,344.03,87.48428,5.467768,0,0,0,0,0,0,5.467768,27.33884,10.93554,56.02618,2.241047,0,0,0,0,0,0,2.241047,24.65152,4.482094,34.17765,0,0,0,0,0,0,0,0,22.7851,0,5.378932,783967,99.6,2.1,3,31,1.010572,96.19041,0
14022,0,11,571.4278,.3530783,2.177316,8.7534,.5149059,.7944262,.5296175,294.3202,24.70077,39.97141,131.9189,43.53577,.2366074,.2366074,0,.2366074,0,2.839289,1.656252,1.656252,13.25002,5.205363,29.65944,.1786713,.1786713,0,0,.1786713,.1786713,1.250699,1.786713,9.64825,6.789509,35.62965,.203598,.203598,0,.101799,.101799,1.323387,1.425186,1.730583,11.19789,6.10794,30.16475,0,.1539018,0,0,0,.3078036,1.539018,1.846822,11.69654,4.155348,79.9969,0,.4838522,.4838522,0,.3225681,0,3.870818,1.290273,55.64301,4.838522,102.3723,0,.1805507,1.263855,0,0,0,4.694319,1.444406,75.4702,8.485884,930.8419,.5657988,3.420511,15.01939,.8744164,1.311625,.2571813,512.3051,41.35475,45.00672,226.2424,90.95043,0,0,0,0,0,0,0,15.15841,0,0,68.24541,6.824541,0,0,0,0,0,6.824541,13.64908,6.824541,0,49.65243,12.41311,0,0,0,0,0,12.41311,12.41311,12.41311,0,5.4788,313972,85.5,.2,3,14,2.501398,62.80367,24.82622
27031,0,11,752.0336,2.557937,7.673812,2.557937,0,0,0,294.1628,46.04287,138.1286,158.5921,141.995,0,35.49876,0,0,0,0,0,70.99751,0,0,30.4878,0,0,0,0,0,0,0,0,0,0,82.00755,0,16.40151,0,0,0,0,0,32.80302,0,0,52.30125,0,0,0,0,0,0,0,0,52.30125,0,79.91476,0,0,0,0,0,0,0,26.63825,26.63825,0,385.0193,0,0,0,0,0,0,0,0,350.0175,35.00175,1210.787,4.586314,9.172628,4.586314,0,0,0,527.4261,68.79472,183.4526,279.7652,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.284153,2952,0,0,3,27,0,87.13997,0
21016,0,11,612.9414,.499138,3.478368,8.719316,.8110992,.9982759,.4523438,295.1933,26.09556,44.82883,153.2198,44.26282,0,.62342,0,0,.93513,.93513,2.18197,1.55855,11.84498,4.98736,21.1521,0,.4316755,0,0,.4316755,.2158377,.6475132,1.510864,6.259295,4.532593,30.60748,0,.5101247,0,0,.6376559,.5101247,1.275312,1.530374,8.544589,4.718654,21.0378,0,0,0,0,0,0,1.197273,0,9.920261,5.644287,69.70586,0,.520193,0,0,.520193,.1733977,2.427567,1.560579,49.76513,6.415714,104.5904,0,0,.1999816,0,.7999264,0,3.199706,.7999264,78.19281,8.799191,954.6334,.8231816,5.273507,14.35423,1.33767,1.311946,.4630397,485.2141,42.00799,53.01804,248.678,75.54772,0,0,0,0,2.798064,2.798064,5.596128,8.394191,16.78838,8.394191,37.91678,0,0,0,0,1.223122,1.223122,3.669366,4.892488,7.338731,3.669366,8.692062,0,0,0,0,0,0,2.173016,2.173016,0,0,6.288978,340248,86.1,3.4,3,21,2.590053,65.57156,2.173016
31014,0,11,670.265,.4516154,3.477438,10.29683,.5871,1.061296,.4290346,337.3341,37.84537,40.23893,162.0848,46.82454,0,2.208705,0,.441741,0,.883482,3.092187,1.325223,17.2279,5.300892,26.23856,0,0,0,0,.2852017,0,.8556052,.5704035,7.985649,7.130044,34.31507,0,.8665421,0,.1733084,.1733084,.3466168,1.733084,.8665421,11.61166,6.412412,26.76996,0,0,0,0,.4655645,.4655645,2.327823,.6983468,13.73415,4.655645,72.41743,0,.2421988,0,0,0,.2421988,2.421988,.9687951,54.49472,6.054969,103.4509,0,.6176175,0,0,.6176175,.3088088,3.088088,2.161661,74.73172,8.029028,1069.618,.7596717,5.39367,17.32052,.9495897,1.595311,.2279015,565.6896,62.44502,44.82063,268.468,66.07202,0,33.03601,0,0,0,0,0,0,0,16.51801,38.22387,0,12.74129,0,0,0,0,0,0,0,19.11193,20.74043,0,0,0,0,0,0,0,0,0,20.74043,6.575052,260815,73.6,2.1,3,31,.8556052,88.69168,0
47007,0,11,702.6807,1.038189,3.518306,9.978147,.6921257,1.557283,.3460629,341.1603,31.78011,51.79408,174.9925,41.61341,0,1.486193,0,0,1.486193,1.486193,2.972387,4.45858,14.86193,10.40335,19.44567,0,1.296378,0,0,0,0,3.889134,0,1.296378,7.778267,29.77345,0,1.384811,0,0,.6924057,.6924057,3.462029,2.077217,7.616463,9.001274,16.83823,0,0,1.122549,0,0,0,0,1.122549,8.980389,2.245097,67.40848,0,.9494151,0,0,0,0,1.89883,4.747076,44.62251,8.544737,70.26251,0,0,.4983157,0,0,0,2.491579,1.494947,55.31304,4.484841,996.5197,1.534287,4.773339,14.57573,1.022858,2.216193,.3409528,502.9053,45.60243,60.94531,255.7146,60.70171,0,0,0,0,12.14034,0,0,0,24.28069,12.14034,43.49954,0,0,0,0,5.437442,0,0,0,10.87488,16.31233,29.54501,0,0,0,0,0,0,0,0,0,19.69667,6.683162,163232,100,5.3,3,47,1.296378,70.0658,0
17046,0,11,554.739,.2476829,2.087613,7.607404,.7784321,.9199651,.5307491,261.5178,28.23585,50.95192,125.3983,51.34894,0,1.180435,0,0,.5902177,1.770653,1.180435,5.902177,20.65762,4.721742,24.18505,0,0,0,0,.8637518,.4318759,1.295628,.4318759,9.933146,4.750635,35.6629,0,.4987817,0,0,.7481726,.9975634,1.246954,2.743299,14.46467,4.738426,26.72103,0,0,0,0,0,0,1.908645,1.526916,11.8336,6.107663,90.60966,0,0,0,0,0,0,3.673364,1.224455,70.20207,6.938577,127.1532,0,0,0,0,0,.4798234,2.878941,2.878941,98.3638,11.03594,872.8027,.4192711,3.174481,12.87761,1.257813,1.317709,.3593753,440.8336,46.05993,57.91931,207.659,197.1609,0,0,0,0,0,39.43218,39.43218,0,78.86436,0,118.4233,0,0,0,0,16.91761,16.91761,16.91761,0,50.75283,0,59.25926,0,0,0,0,29.62963,0,0,0,29.62963,0,6.696932,144077,84.9,.7,3,17,1.727504,65.46619,29.62963
