oldcode,povrate60,year,sum2count,pop5_9,sum5964,sumpop,rate_5964
1001,52.95928,60,1,2328,2,13968,14.31844
1002,41.67101,64,0,5797,4,34782,11.5002
1003,65.64565,62,0,3002,3,18012,16.65556
1004,56.27055,60,0,1640,1,9840,10.1626
1005,45.62446,61,0,2606,0,15636,0
1006,71.88475,62,0,1750,0,10500,0
1007,63.27154,61,0,2908,2,17448,11.46263
1008,34.06308,62,0,10490,6,62940,9.532888
1009,42.77838,60,0,3981,2,23886,8.373106
1010,47.20592,61,0,1707,3,10242,29.29115
1011,52.22901,62,0,2681,4,16086,24.86634
1012,62.10922,63,0,2254,0,13524,0
1013,58.46618,64,0,3149,0,18894,0
1014,49.76548,59,0,1195,0,7170,0
1015,52.19971,63,0,1149,0,6894,0
1016,50.68407,62,1,3401,1,20406,4.900519
1017,35.32662,60,0,5224,0,31344,0
1018,62.96134,61,0,2083,2,12498,16.00256
1019,51.69877,62,0,1214,1,7284,13.72872
1020,46.30926,64,0,3543,2,21258,9.408223
1021,64.90812,63,0,1563,0,9378,0
1022,48.08134,63,0,4724,1,28344,3.528084
1023,40.67883,62,0,3306,1,19836,5.041339
1024,58.20935,61,0,7030,2,42180,4.741584
1025,49.62872,64,0,4152,2,24912,8.028259
1026,47.93242,60,0,3308,1,19848,5.038291
1027,47.24581,59,1,3767,5,22602,22.12194
1028,35.82675,60,0,10622,6,63732,9.414423
1029,52.51355,63,0,1618,1,9708,10.30078
1030,49.874,60,0,2231,0,13386,0
1031,53.8095,62,0,2325,1,13950,7.168459
1032,77.78582,61,0,1888,0,11328,0
1033,70.75676,59,1,2586,1,15516,6.44496
1034,64.05679,64,0,1798,0,10788,0
1035,46.03269,59,1,5688,3,34128,8.790436
1036,52.10014,64,1,4146,4,24876,16.07976
1037,30.84088,59,5,70208,15,421248,3.560848
1038,46.94554,64,0,1407,0,8442,0
1039,35.30011,64,1,6732,2,40392,4.951476
1040,56.77119,61,0,2921,2,17526,11.41162
1041,42.51073,59,0,4999,3,29994,10.002
1042,49.06786,64,0,4251,0,25506,0
1043,76.94733,61,0,2204,2,13224,15.12402
1044,60.51723,63,0,2904,1,17424,5.73921
1045,29.39149,61,0,13540,6,81240,7.385524
1046,63.18445,61,0,3502,2,21012,9.518371
1047,52.7599,64,0,2089,0,12534,0
1048,41.13768,62,0,5175,1,31050,3.220612
1049,31.98251,59,2,37513,15,225078,6.664356
1050,62.36896,63,0,2858,1,17148,5.831584
1051,36.75657,62,1,18900,9,113400,7.936508
1052,36.46137,64,0,6700,1,40200,2.487562
1053,75.13681,60,0,2156,4,12936,30.92146
1054,58.91557,64,0,2641,1,15846,6.310741
1055,61.9207,64,0,2807,0,16842,0
1056,50.72083,62,1,1924,2,11544,17.32502
1057,49.99789,64,0,5638,3,33828,8.868393
1058,44.42008,61,0,2750,0,16500,0
1059,45.08377,62,0,3530,2,21180,9.442871
1060,73.84322,60,0,2712,0,16272,0
1061,45.34272,60,2,7750,6,46500,12.90323
1062,40.67229,61,0,3762,0,22572,0
1063,40.56952,61,1,11479,8,68874,11.61541
1064,44.65673,60,1,5816,1,34896,2.865658
1065,54.22368,63,0,2001,0,12006,0
1066,78.65428,61,0,2648,2,15888,12.58812
